PERMNO,date,TICKER,CUSIP,RET
85926,12/30/2016,SEE,81211K10,-0.005702
85926,01/31/2017,SEE,81211K10,0.069696
85926,02/28/2017,SEE,81211K10,-0.041649
85926,03/31/2017,SEE,81211K10,-0.05895
85926,04/28/2017,SEE,81211K10,0.010096
85926,05/31/2017,SEE,81211K10,0.012721
85926,06/30/2017,SEE,81211K10,0.007654
85926,07/31/2017,SEE,81211K10,-0.027927
85926,08/31/2017,SEE,81211K10,0.023673
85926,09/29/2017,SEE,81211K10,-0.037404
85926,10/31/2017,SEE,81211K10,0.035346
85926,11/30/2017,SEE,81211K10,0.089984
85926,12/29/2017,SEE,81211K10,0.026015
85926,01/31/2018,SEE,81211K10,-0.039554
85926,02/28/2018,SEE,81211K10,-0.105174
85926,03/29/2018,SEE,81211K10,0.013689
85926,04/30/2018,SEE,81211K10,0.024772
85926,05/31/2018,SEE,81211K10,-0.002965
85926,06/29/2018,SEE,81211K10,-0.025482
85926,07/31/2018,SEE,81211K10,0.038163
85926,08/31/2018,SEE,81211K10,-0.089857
85926,09/28/2018,SEE,81211K10,0.004986
85926,10/31/2018,SEE,81211K10,-0.194022
85926,11/30/2018,SEE,81211K10,0.128863
85926,12/31/2018,SEE,81211K10,-0.041883
85926,01/31/2019,SEE,81211K10,0.133754
85926,02/28/2019,SEE,81211K10,0.104304
85926,03/29/2019,SEE,81211K10,0.059606
85926,04/30/2019,SEE,81211K10,0.012158
85926,05/31/2019,SEE,81211K10,-0.101244
85926,06/28/2019,SEE,81211K10,0.024821
85926,07/31/2019,SEE,81211K10,-0.023142
85926,08/30/2019,SEE,81211K10,-0.04714
85926,09/30/2019,SEE,81211K10,0.046459
85926,10/31/2019,SEE,81211K10,0.006264
85926,11/29/2019,SEE,81211K10,-0.09672
85926,12/31/2019,SEE,81211K10,0.059899
85926,01/31/2020,SEE,81211K10,-0.108712
85926,02/28/2020,SEE,81211K10,-0.146197
85926,03/31/2020,SEE,81211K10,-0.179479
85926,04/30/2020,SEE,81211K10,0.157021
85926,05/29/2020,SEE,81211K10,0.12277
85926,06/30/2020,SEE,81211K10,0.028349
85926,07/31/2020,SEE,81211K10,0.086149
85926,08/31/2020,SEE,81211K10,0.101457
85926,09/30/2020,SEE,81211K10,-0.008397
85926,10/30/2020,SEE,81211K10,0.020098
85926,11/30/2020,SEE,81211K10,0.138166
85926,12/31/2020,SEE,81211K10,0.019751
85926,01/29/2021,SEE,81211K10,-0.076873
85926,02/26/2021,SEE,81211K10,-0.008753
85926,03/31/2021,SEE,81211K10,0.097375
85926,04/30/2021,SEE,81211K10,0.078132
85926,05/28/2021,SEE,81211K10,0.151012
85926,06/30/2021,SEE,81211K10,0.04555
85926,07/30/2021,SEE,81211K10,-0.042194
85926,08/31/2021,SEE,81211K10,0.075418
85926,09/30/2021,SEE,81211K10,-0.098968
85926,10/29/2021,SEE,81211K10,0.082679
85926,11/30/2021,SEE,81211K10,0.047202
85926,12/31/2021,SEE,81211K10,0.089343
86111,01/31/2011,AMT,03027X10,-0.015105
86111,02/28/2011,AMT,03027X10,0.060952
86111,03/31/2011,AMT,03027X10,-0.039659
86111,04/29/2011,AMT,03027X10,0.009456
86111,05/31/2011,AMT,03027X10,0.0606
86111,06/30/2011,AMT,03027X10,-0.056777
86111,07/29/2011,AMT,03027X10,0.003822
86111,08/31/2011,AMT,03027X10,0.025319
86111,09/30/2011,AMT,03027X10,-0.001114
86111,10/31/2011,AMT,03027X10,0.024164
86111,11/30/2011,AMT,03027X10,0.07078
86111,12/30/2011,AMT,03027X10,0.023051
86111,01/31/2012,AMT,03027X10,0.058324
86111,02/29/2012,AMT,03027X10,-0.014643
86111,03/30/2012,AMT,03027X10,0.007031
86111,04/30/2012,AMT,03027X10,0.043954
86111,05/31/2012,AMT,03027X10,-0.010674
86111,06/29/2012,AMT,03027X10,0.080919
86111,07/31/2012,AMT,03027X10,0.03433
86111,08/31/2012,AMT,03027X10,-0.026414
86111,09/28/2012,AMT,03027X10,0.01733
86111,10/31/2012,AMT,03027X10,0.05463
86111,11/30/2012,AMT,03027X10,-0.004782
86111,12/31/2012,AMT,03027X10,0.034432
